Frequency (MHz),Core Voltage,target_hashrate
500,1079,1020.0
505,1081,1030.2
510,1083,1040.4
515,1085,1050.6
520,1087,1060.8
525,1089,1071.0
530,1091,1081.2
535,1093,1091.4
540,1095,1101.6
545,1097,1111.8
550,1100,1122.0
555,1102,1132.2
560,1104,1142.4
565,1106,1152.6
570,1108,1162.8
575,1110,1173.0
580,1112,1183.2
585,1114,1193.4
590,1116,1203.6
595,1118,1213.8
600,1120,1224.0
605,1122,1234.2
610,1124,1244.4
615,1126,1254.6
620,1128,1264.8
625,1130,1275.0
630,1132,1285.2
635,1134,1295.4
640,1136,1305.6
645,1138,1315.8
650,1140,1326.0
655,1142,1336.2
660,1144,1346.4
665,1146,1356.6
670,1148,1366.8
675,1150,1377.0
680,1152,1387.2
685,1154,1397.4
690,1156,1407.6
695,1158,1417.8
700,1160,1428.0
705,1162,1438.2
710,1164,1448.4
715,1166,1458.6
720,1168,1468.8
725,1170,1479.0
730,1172,1489.2
735,1174,1499.4
740,1176,1509.6
745,1178,1519.8
750,1180,1530.0
755,1182,1540.2
760,1184,1550.4
765,1186,1560.6
770,1188,1570.8
775,1190,1581.0
780,1192,1591.2
785,1194,1601.4
790,1196,1611.6
795,1198,1621.8
800,1201,1632.0
805,1203,1642.2
810,1205,1652.4
815,1207,1662.6
820,1209,1672.8
825,1211,1683.0
830,1213,1693.2
835,1215,1703.4
840,1217,1713.6
845,1219,1723.8
850,1221,1734.0
855,1223,1744.2
860,1225,1754.4
865,1227,1764.6
870,1229,1774.8
875,1231,1785.0
880,1233,1795.2
885,1235,1805.4
890,1237,1815.6
895,1239,1825.8
900,1241,1836.0
905,1243,1846.2
910,1245,1856.4
915,1247,1866.6
920,1249,1876.8
925,1251,1887.0
930,1253,1897.2
935,1255,1907.4
940,1257,1917.6
945,1259,1927.8
950,1261,1938.0
955,1263,1948.2
960,1265,1958.4
965,1267,1968.6
970,1269,1978.8
975,1271,1989.0
980,1273,1999.2
985,1275,2009.4
990,1277,2019.6
995,1279,2029.8
1000,1281,2040.0
1005,1283,2050.2
1010,1285,2060.4
1015,1287,2070.6
1020,1289,2080.8
1025,1291,2091.0
1030,1293,2101.2
1035,1295,2111.4
1040,1297,2121.6
1045,1299,2131.8
1050,1302,2142.0
1055,1304,2152.2
1060,1306,2162.4
1065,1308,2172.6
1070,1310,2182.8
1075,1312,2193.0
1080,1314,2203.2
1085,1316,2213.4
1090,1318,2223.6
1095,1320,2233.8
1100,1322,2244.0
1105,1324,2254.2
1110,1326,2264.4
1115,1328,2274.6
1120,1330,2284.8
1125,1332,2295.0
1130,1334,2305.2
1135,1336,2315.4
1140,1338,2325.6
1145,1340,2335.8
1150,1342,2346.0
1155,1344,2356.2
1160,1346,2366.4
1165,1348,2376.6
1170,1350,2386.8
1175,1352,2397.0
1180,1354,2407.2
1185,1356,2417.4
1190,1358,2427.6
1195,1360,2437.8
1200,1362,2448.0
1205,1364,2458.2
1210,1366,2468.4
1215,1368,2478.6
1220,1370,2488.8
1225,1372,2499.0
1230,1374,2509.2
1235,1376,2519.4
1240,1378,2529.6
1245,1380,2539.8
1250,1382,2550.0
1255,1384,2560.2
1260,1386,2570.4
1265,1388,2580.6
1270,1390,2590.8
1275,1392,2601.0
1280,1394,2611.2
1285,1396,2621.4
1290,1398,2631.6
1295,1400,2641.8
1300,1403,2652.0
